paper_id,title,year,venue,source,query,doi,url,authors,abstract,topic,score_abstraction,score_physical,score_planning,score_world_model,hidden_assumptions,fixed_variables,failure_modes
doi:10.5821/dissertation-2117-449695,Learning methods in planning and control for autonomous vehicles and robotic manipulation,,,crossref,robotic manipulation planning latent dynamics,10.5821/dissertation-2117-449695,https://doi.org/10.5821/dissertation-2117-449695,Mohammad Sheikhsamad,"(English) This thesis deals with the application of machine learning (ML) and deep learning (DL) techniques to enhance planning and control tasks across different fields, particularly on autonomous vehicles and robotic hands. Specifically, it addresses the learning-based development of a robust trajectory-tracking controller for autonomous vehicles, an adaptive path planner for robotic hands enabling dexterous manipulation, and a human-in-the-loop controller for myoelectric robotic hands to ensure precise grasp force regulation. In the field of autonomous vehicles, the thesis develops a Takagi-Sugeno (TS) controller using the Adaptive Neuro-Fuzzy Inference System (ANFIS) as a learning-based approach to infer a control strategy from input-output data of an existing controller. The closed-loop stability of the system is analyzed using Lyapunov theory and Linear Matrix Inequalities (LMIs). The proposed controller eliminates the need for online optimization, significantly reduces computational cost, and enhances real-time performance. Its effectiveness is validated through simulations on a small-scale autonomous vehicle. In the field of robotic dexterous manipulation, the thesis introduces three learning-based path planners using ANFIS and Deep Neural Networks (DNNs) to learn heuristics from an analytical planner and self-tune their parameters based on prior experience. This approach enables robots to manipulate objects of varying shapes, sizes, and material properties. The proposed planners are validated through real-world experiments using an Allegro robotic hand, demonstrating robustness against sensor noise and environmental disturbances. In the field of robotic grasping, the thesis presents a myocontrolled human-in-the-loop (HITL) system for precise grasp strength regulation. The system integrates both DNN-based and fuzzy-based force controllers. The fuzzy-based controller leverages fuzzy logic, with parameter optimization guided by user preferences collected through a graphical user interface (GUI) using Global Learning of Input-Output Strategies from Pairwise Preferences (GLISp). These controllers are compared against heuristic model-based controllers, and the system is validated through real-world experiments using the AR10 robotic hand, showing enhanced adaptability and fine-grained force regulation capabilities. The findings of this research contribute to the advancement of intelligent planning and control systems across multiple application areas, paving the way for more efficient, adaptive, and stable automation in real-world scenarios. (Catal) Aquesta tesi tracta sobre l'aplicaci de tcniques d'aprenentatge automtic (ML) i aprenentatge profund (DL) per millorar les tasques de planificaci i control en diferents mbits, en vehicles autnoms i mans robtiques. En concret, aborda el desenvolupament, basat en aprenentatge, d'un controlador robust de seguiment de trajectries per a vehicles autnoms, un planificador de trajectries adaptatiu per a mans robtiques que permet la manipulaci destra, i un controlador amb l'hum en el llop per a mans robtiques mioelctriques que garanteix una regulaci precisa de la fora de prensi. En l'mbit dels vehicles autnoms, la tesi desenvolupa un controlador Takagi-Sugeno (TS) utilitzant el Sistema d'Inferncia Neuro-Difs Adaptatiu (ANFIS) com a enfocament basat en aprenentatge per inferir una estratgia de control a partir de les dades d'entrada-sortida d'un controlador ja existent. L'estabilitat en llac tancat del sistema s'analitza mitjanant la teoria de Lyapunov i les Desigualtats Matricials Lineals (LMIs). El controlador proposat elimina la necessitat d'optimitzaci en lnia, redueix significativament el cost computacional i millora el rendiment en temps real. La seva efectivitat es valida mitjanant simulacions l'un vehicle autnom a petita escala. En l'mbit de la manipulaci robtica destra, la tesi introdueix tres planificadors de trajectries basats en aprenentatge que utilitzen ANFIS i Xarxes Neuronals Profundes (DNNs) per aprendre heurstiques d'un planificador analtic i autoajustar els seus parmetres en funci de l'experincia prvia permet als robots manipular objectes de diferents formes, mides i propietats materials. Els planificadors proposats es validen mitjanant experiments en el mn real utilitzant una m robtica Allegro, demostrant robustesa davant del soroll dels sensors i les pertorbacions de l'entorn. En l'mbit de la prensi robtica, la tesi presenta un sistema mio-controlat amb l'hum en el llop (HITL) per a la regulaci precisa de la fora de pressi. El sistema integra tant controladors de fora basats en DNN com controladors basats en lgica difusa. El controlador difs utilitza lgica difusa, amb una optimitzaci de parmetres guiada per les preferncies de l'usuari recopilades a travs d'una interfcie grfica (GUI) mitjanant el mtode d'Aprenentatge Global d'Estratgies Entrada-Sortida a partir de Preferncies per Parelles (GLISp). Aquests controladors es comparen amb controladors heurstics basats en models, i el sistema es valida mitjanant experiments reals amb la m robtica AR10, mostrant una major adaptabilitat i capacitats de regulaci fine de la fora. Els resultats d'aquesta recerca contribueixen a l'aven dels sistemes intelligents de planificaci i control en mltiples rees d'aplicaci, obrint el cam cap a una automatitzaci ms eficient, adaptativa i estable en escenaris del mn real. (Espaol) Este trabajo de tesis trata sobre la aplicacin de tcnicas de aprendizaje automtico (ML) y aprendizaje profundo (DL) para mejorar las tareas de planificacin y control en distintos mbitos, particularmente en vehculos autnomos y manos robticas. En particular, aborda el desarrollo, basado en aprendizaje, de un controlador robusto de seguimiento de trayectorias para vehculos autnomos, un planificador de trayectorias adaptativo para manos robticas que permite manipulacin diestra, y un controlador con el humano en el bucle para manos robticas mioelctricas que garantiza una regulacin precisa de la fuerza de prensin. En el mbito de los vehculos autnomos, la tesis desarrolla un controlador Takagi-Sugeno (TS) utilizando el Sistema de Inferencia Neuro-Difuso Adaptativo (ANFIS) como un enfoque basado en aprendizaje para inferir una estrategia de control a partir de los datos de entrada-salida de un controlador ya existente. La estabilidad en lazo cerrado del sistema se analiza mediante la teora de Lyapunov y Desigualdades Matriciales Lineales (LMIs). El controlador propuesto elimina la necesidad de optimizacin en lnea, reduce significativamente el coste computacional y mejora el rendimiento en tiempo real. Su efectividad se valida a travs de simulaciones de un vehculo autnomo a pequea escala. En el mbito de la manipulacin robtica diestra, la tesis introduce tres planificadores de trayectorias basados en aprendizaje que emplean ANFIS y Redes Neuronales Profundas (DNNs) para aprender heursticas de un planificador analtico y autoajustar sus parmetros en funcin de la experiencia previa. Este enfoque permiten a los robots manipular objetos de distintas formas, tamaos y propiedades materiales. Los planificadores propuestos se validan mediante experimentos en el mundo real utilizando una mano robtica Allegro, demostrando robustez frente al ruido de sensores y perturbaciones del entorno. En el mbito de la prensin robtica, la tesis presenta un sistema mio-controlado con el humano en el bucle (HITL) para la regulacin precisa de la fuerza de prensin. El sistema integra tanto controladores de fuerza basados en DNN como controladores basados en lgica difusa. El controlador difuso emplea lgica difusa, con una optimizacin de parmetros guiada por las preferencias del usuario recopiladas a travs de una interfaz grfica (GUI) mediante el mtodo de Aprendizaje Global de Estrategias Entrada-Salida a partir de Preferencias por Pares (GLISp). Estos controladores se comparan con controladores heursticos basados en modelos, y el sistema se valida mediante experimentos reales con la mano robtica AR10, mostrando una mayor adaptabilidad y capacidades de regulacin fina de fuerza. Los resultados de esta investigacin contribuyen al avance de los sistemas inteligentes de planificacin y control en mltiples reas de aplicacin, allanando el camino hacia una automatizacin ms eficiente, adaptativa y estable en escenarios del mundo real.",planning,0,51,74,1,contact geometry; control actionability,not explicit,contact discontinuities; long-horizon compounding error
doi:10.5821/dissertation-2117-449629,Learning latent structures for robotic assistance in daily manipulation tasks,,,crossref,robotic manipulation planning latent dynamics,10.5821/dissertation-2117-449629,https://doi.org/10.5821/dissertation-2117-449629,Juan Antonio Delgado Guerrero,"(English) Robotic domestic assistance presents significant challenges due to the complexity of modeling everyday manipulation tasks, especially those involving deformable objects like cloth. Traditional approaches often struggle with high-dimensional state representations, dynamic uncertainties, and the need for safe human-robot interaction. This thesis addresses these challenges by developing novel machine learning methods based on latent variable models to enable efficient, adaptive, and safe robotic manipulation. First, we propose a Gaussian Process Latent Variable Model (GPLVM) framework combined with Bayesian Optimization (BO) to learn high-dimensional robot motion policies with minimal data. This approach reduces the parameter space dimensionality while preserving task-relevant features, achieving faster convergence than other existing model-free alternatives. Next, we extend this framework to contextual learning using Covariate GPLVM (c-GPLVM), allowing robots to adapt to environmental changes (e.g., user preferences, object positions) without retraining. Experiments in feeding and shoe-fitting tasks demonstrate improved generalization with fewer samples compared to state-of-the-art contextual policy search methods. For dynamic cloth manipulation, we introduce the Controlled Gaussian Process Dynamical Model (CGPDM), which embeds control actions into a low-dimensional latent space to predict cloth motion under robot manipulation. Evaluations in simulated and real-world bimanual cloth handling show that CGPDM accurately generalizes to unseen actions, even with limited training data. Finally, we address safety in human-robot interaction by proposing Cartesian control enhancements for redundant manipulators, including error saturation, singularity avoidance, and impedance tuning. These measures mitigate risks during physical interaction, ensuring stable and compliant robot behavior. Together, these contributions advance robotic cloth manipulation by combining data-efficient learning, context-aware adaptation, and safe control, paving the way for practical deployment in assistive and household robotics. (Catal) L'assistncia robtica en entorns domstics presenta reptes significatius a causa de la complexitat de modelar tasques de manipulaci quotidianes, especialment aquelles que impliquen objectes deformables com ara la roba. Els enfocaments tradicionals sovint tenen dificultats amb les representacions d'estat d'alta dimensionalitat, les incerteses dinmiques i la necessitat d'una interacci segura entre humans i robots. Aquesta tesi doctoral aborda aquests reptes mitjanant el desenvolupament de nous mtodes d'aprenentatge automtic basats en models de variables latents per permetre una manipulaci robtica eficient, adaptable i segura. En primer lloc, proposem un marc basat en Models de Variables Latents amb Processos Gaussians (GPLVM) combinat amb Optimitzaci Bayesiana (BO) per aprendre poltiques de moviment robtic d'alta dimensi amb la menor quantitat de dades possible. Aquest enfocament redueix la dimensionalitat de l'espai de parmetres preservant les caracterstiques rellevants per a la tasca, aconseguint una convergncia ms rpida que altres alternatives existents sense model. A continuaci, estenem aquest marc a l'aprenentatge contextual utilitzant GPLVM amb covariables (c-GPLVM), permetent als robots adaptar-se a canvis ambientals (com preferncies d'usuari o posicions d'objectes) sense necessitat de reentrenament. Els experiments en tasques d'alimentaci i calat demostren una millora en la generalitzaci amb menys mostres en comparaci amb els mtodes de referncia en cerca de poltiques contextuals. Per a la manipulaci dinmica de roba, introdum el Model Dinmic de Processos Gaussians Controlat (CGPDM), que incorpora accions de control en un espai latent de baixa dimensi per predir el moviment dels teixits sota la manipulaci robtica. Les avaluacions en simulaci i en entorns reals amb manipulaci bimanual mostren que el CGPDM generalitza amb precisi davant d'accions no vistes prviament, fins i tot amb dades d'entrenament limitades. Finalment, abordem la seguretat en la interacci hum-robot mitjanant millores en el control cartesi per a manipuladors redundants, incloent-hi la saturaci d'errors, l'evasi de singularitats i l'ajust d'impedncies. Aquestes mesures minimitzen el risc durant la interacci fsica, garantint un comportament robtic estable i flexible. En conjunt, aquestes contribucions impulsen l'aven en la manipulaci de roba mitjanant la combinaci d'aprenentatge eficient en termes de dades, adaptaci contextual i control segur, obrint el cam per a la seva implementaci prctica en robtica assistencial i domstica. (Espaol) La asistencia robtica en entornos domsticos presenta desafos significativos debido a la complejidad de modelar tareas de manipulacin cotidianas, especialmente aquellas que implican objetos deformables como la ropa. Los enfoques tradicionales suelen tener dificultades con las representaciones de estado de alta dimensionalidad, las incertidumbres dinmicas y la necesidad de una interaccin segura entre humanos y robots. Esta tesis doctoral aborda estos desafos mediante el desarrollo de nuevos mtodos de aprendizaje automtico basados en modelos de variables latentes para permitir una manipulacin robtica eficiente, adaptable y segura. En primer lugar, proponemos un marco basado en Modelos de Variables Latentes con Procesos Gaussianos (GPLVM) combinado con Optimizacin Bayesiana (BO) para aprender polticas de movimiento robtico de alta dimensin con la menor cantidad de datos posible. Este enfoque reduce la dimensionalidad del espacio de parmetros preservando las caractersticas relevantes para la tarea, logrando una convergencia ms rpida que otras alternativas existentes sin modelo. A continuacin, extendemos este marco al aprendizaje contextual utilizando GPLVM con covariables (c-GPLVM), permitiendo que los robots se adapten a cambios ambientales (como preferencias de usuario o posiciones de objetos) sin necesidad de reentrenamiento. Los experimentos en tareas de alimentacin y calzado demuestran una mejora en la generalizacin con menos muestras en comparacin con los mtodos de referencia de bsqueda de polticas contextuales. Para la manipulacin dinmica de ropa, introducimos el Modelo Dinmico de Procesos Gaussianos Controlado (CGPDM), que incorpora acciones de control en el espacio latente de baja dimensin para predecir el movimiento de los tejidos bajo la manipulacin robtica. Las evaluaciones en simulacin y en entornos reales con manipulacin bimanual muestran que el CGPDM generaliza con precisin ante acciones no vistas previamente, incluso con datos de entrenamiento limitados. Finalmente, abordamos la seguridad en la interaccin humano-robot mediante mejoras en el control cartesiano para manipuladores redundantes, incluyendo medidas como la saturacin de errores, la evasin de singularidades y el ajuste de impedancias. Estas medidas minimizan el riesgo durante la interaccin fsica, garantizando un comportamiento robtico estable y flexible. En su conjunto, estas contribuciones impulsan el avance en la manipulacin robtica de ropa mediante la combinacin de aprendizaje eficiente en trminos de datos, adaptacin contextual y control seguro, allanando el camino para su implementacin prctica en robtica asistencial y domstica.",physical,13,19,13,11,state variables; contact geometry; control actionability; dynamics fidelity,not explicit,contact discontinuities; aliasing / observability limits
doi:10.3389/frobt.2025.1737238,LG-H-PPO: offline hierarchical PPO for robot path planning on a latent graph,2026,Frontiers in Robotics and AI,crossref,latent state robot policy planning,10.3389/frobt.2025.1737238,https://doi.org/10.3389/frobt.2025.1737238,Xiang Han,"The path planning capability of autonomous robots in complex environments is crucial for their widespread application in the real world. However, long-term decision-making and sparse reward signals pose significant challenges to traditional reinforcement learning (RL) algorithms. Offline hierarchical reinforcement learning offers an effective approach by decomposing tasks into two stages: high-level subgoal generation and low-level subgoal attainment. Advanced Offline HRL methods, such as Guider and HIQL, typically introduce latent spaces in high-level policies to represent subgoals, thereby handling high-dimensional states and enhancing generalization. However, these approaches require the high-level policy to search and generate sub-objectives within a continuous latent space. This remains a complex and sample-inefficient challenge for policy optimization algorithms-particularly policy gradient-based PPO-often leading to unstable training and slow convergence. To address this core limitation, this paper proposes a novel offline hierarchical PPO framework-LG-H-PPO (Latent Graph-based Hierarchical PPO). The core innovation of LG-H-PPO lies in discretizing the continuous latent space into a structured ""latent graph."" By transforming high-level planning from challenging ""continuous creation"" to simple ""discrete selection,"" LG-H-PPO substantially reduces the learning difficulty for the high-level policy. Preliminary experiments on standard D4RL offline navigation benchmarks demonstrate that LG-H-PPO achieves significant advantages over advanced baselines like Guider and HIQL in both convergence speed and final task success rates. The main contribution of this paper is introducing graph structures into latent variable HRL planning. This effectively simplifies the action space for high-level policies, enhancing the training efficiency and stability of offline HRL algorithms for long-sequence navigation tasks. It lays the foundation for future offline HRL research combining latent variable representations with explicit graph planning.",planning,14,2,15,8,state variables; contact geometry; control actionability,dataset support; task decomposition,aliasing / observability limits; long-horizon compounding error
doi:10.3390/machines9040077,Research on Motion Planning Based on Flocking Control and Reinforcement Learning for Multi-Robot Systems,2021,Machines,crossref,offline robot learning planning control,10.3390/machines9040077,https://doi.org/10.3390/machines9040077,Minghui Wang; Bi Zeng; Qiujie Wang,"Robots have poor adaptive ability in terms of formation control and obstacle avoidance control in unknown complex environments. To address this problem, in this paper, we propose a new motion planning method based on flocking control and reinforcement learning. It uses flocking control to implement a multi-robot orderly motion. To avoid the trap of potential fields faced during flocking control, the flocking control is optimized, and the strategy of wall-following behavior control is designed. In this paper, reinforcement learning is adopted to implement the robotic behavioral decision and to enhance the analytical and predictive abilities of the robot during motion planning in an unknown environment. A visual simulation platform is developed in this paper, on which researchers can test algorithms for multi-robot motion control, such as obstacle avoidance control, formation control, path planning and reinforcement learning strategy. As shown by the simulation experiments, the motion planning method presented in this paper can enhance the abilities of multi-robot systems to self-learn and self-adapt under a fully unknown environment with complex obstacles.",planning,0,15,22,1,contact geometry; control actionability; dynamics fidelity,not explicit,long-horizon compounding error
doi:10.3390/robotics9040076,Kinematic-Model-Free Orientation Control for Robot Manipulation Using Locally Weighted Dual Quaternions,2020,Robotics,crossref,robot world model planning control manipulation,10.3390/robotics9040076,https://doi.org/10.3390/robotics9040076,Ahmad AlAttar; Petar Kormushev,"Conventional control of robotic manipulators requires prior knowledge of their kinematic structure. Model-learning controllers have the advantage of being able to control robots without requiring a complete kinematic model and work well in less structured environments. Our recently proposed Encoderless controller has shown promising ability to control a manipulator without requiring any prior kinematic model whatsoever. However, this controller is only limited to position control, leaving orientation control unsolved. The research presented in this paper extends the state-of-the-art kinematic-model-free controller to handle orientation control to manipulate a robotic arm without requiring any prior model of the robot or any joint angle information during control. This paper presents a novel method to simultaneously control the position and orientation of a robot's end effector using locally weighted dual quaternions. The proposed novel controller is also scaled up to control three-degrees-of-freedom robots.",planning,1,16,20,0,contact geometry; control actionability,not explicit,contact discontinuities
doi:10.3390/app11114746,Kinematic-Model-Free Redundancy Resolution Using Multi-Point Tracking and Control for Robot Manipulation,2021,Applied Sciences,crossref,robot world model planning control manipulation,10.3390/app11114746,https://doi.org/10.3390/app11114746,Ahmad AlAttar; Francesco Cursi; Petar Kormushev,"Robots have been predominantly controlled using conventional control methods that require prior knowledge of the robots' kinematic and dynamic models. These controllers can be challenging to tune and cannot directly adapt to changes in kinematic structure or dynamic properties. On the other hand, model-learning controllers can overcome such challenges. Our recently proposed model-learning orientation controller has shown promising ability to simultaneously control a three-degrees-of-freedom robot manipulator's end-effector pose. However, this controller does not perform optimally with robots of higher degrees-of-freedom nor does it resolve redundancies. The research presented in this paper extends the state-of-the-art kinematic-model-free controller to perform pose control of hyper-redundant robot manipulators and resolve redundancies by tracking and controlling multiple points along the robot's serial chain. The results show that with more control points, the controller is able to reach desired poses in fewer steps, yielding an improvement of up to 66%, and capable of achieving complex configurations. The algorithm was validated by running the simulation 100 times, and it was found that, in 82% of the times, the robot successfully reached the desired target pose within 150 steps.",planning,1,14,19,0,contact geometry; control actionability,not explicit,contact discontinuities
doi:10.1108/ria-02-2023-0018,Implicit contact-rich manipulation planning for a manipulator with insufficient payload,2023,Robotic Intelligence and Automation,crossref,robotic manipulation planning latent dynamics,10.1108/ria-02-2023-0018,https://doi.org/10.1108/ria-02-2023-0018,Kento Nakatsuru; Weiwei Wan; Kensuke Harada,"Purpose This paper aims to study using a mobile manipulator with a collaborative robotic arm component to manipulate objects beyond the robot's maximum payload. Design/methodology/approach This paper proposes a single-short probabilistic roadmap-based method to plan and optimize manipulation motion with environment support. The method uses an expanded object mesh model to examine contact and randomly explores object motion while keeping contact and securing affordable grasping force. It generates robotic motion trajectories after obtaining object motion using an optimization-based algorithm. With the proposed method's help, the authors plan contact-rich manipulation without particularly analyzing an object's contact modes and their transitions. The planner and optimizer determine them automatically. Findings The authors conducted experiments and analyses using simulations and real-world executions to examine the method's performance. The method successfully found manipulation motion that met contact, force and kinematic constraints. It allowed a mobile manipulator to move heavy objects while leveraging supporting forces from environmental obstacles. Originality/value This paper presents an automatic approach for solving contact-rich heavy object manipulation problems. Unlike previous methods, the new approach does not need to explicitly analyze contact states and build contact transition graphs, thus providing a new view for robotic grasp-less manipulation, nonprehensile manipulation, manipulation with contact, etc.",physical,1,23,5,0,contact geometry; control actionability,not explicit,contact discontinuities; long-horizon compounding error
doi:10.1108/ir-06-2017-0107,Real-time control of triglide robot using sliding mode control method,2018,Industrial Robot: An International Journal,crossref,sim-to-real robot control abstraction,10.1108/ir-06-2017-0107,https://doi.org/10.1108/ir-06-2017-0107,Muhammet Aydin; Oguz Yakut,"Purpose The purpose of the study is to design a three-dimensional (3D) triglide parallel robot with a different approach and to control the manufactured robot via sliding mode control method that has not been applied to the robot before. Design/methodology/approach The x, y and z coordinates of the end effector of the robot have been given as a reference. The x, y and z reference values are transformed as new reference values of the vertical movement of the robot on the endless screw by using the inverse kinematic equations of the robot. The control of the robot over these reference values is provided by a sliding mode control. The MATLAB/real-time toolbox has been used for creating the interface. The real-time control of the triglide robot has been carried out with a sliding mode controller in the Simulink environment. Findings When the results of the sliding mode control are examined, it is seen that the desired reference values are provided in about 0.6 s. The velocity of the sliding limbs in each arm of the robot is approximately 50 mm/s. The reference values have been reached using the sliding mode control method, with an average error of 0.01 mm. In addition, the problem of chattering in the system caused by using the sign function has been relatively eliminated by using the saturation function instead of the sign function. Thus, the sliding mode control method with saturation function is more feasible. Originality/value In this study, the triglide parallel robot was manufactured using a 3D model after taking into consideration the dimensions of the 3D model. After production, the necessary hardware connections were provided, and a real-time sliding mode control method was implemented to the robot by using the interface program in MATLAB/Simulink environment. The literature contribution of the paper is the real-time control of the triglide robot with the sliding mode control method.",planning,0,14,15,0,control actionability,not explicit,not explicit
doi:10.2139/ssrn.6433711,Experimental evaluation of offline reinforcement learning for HVAC control in buildings,2026,,crossref,offline robot learning planning control,10.2139/ssrn.6433711,https://doi.org/10.2139/ssrn.6433711,Jun Wang; Linyan Li; Yu Yang,"Reinforcement learning has shown significant potential for dynamic Heating, Ventilation, and Air Conditioning control in buildings. However, existing research predominantly focuses on online or off-policy methods that require active environment interactions, leaving the practical utility of purely offline historical data largely unexplored. This research gap hinders the real-world deployment of reinforcement-learning-based controllers despite the abundance of data in Building Management Systems. To address this, this paper provides a comprehensive evaluation of state-of-the-art offline reinforcement learning algorithms, analyzed through the dual lenses of architectural design and dataset characteristics. We propose an end-to-end framework that integrates sequential observation modeling to resolve the partially observable Markov decision process inherent in building dynamics. Crucially, we investigate the quantitative impact of dataset quality-measured by a novel Regret Ratio (_)-and quantity on control efficacy. Our findings reveal a counter-intuitive yet vital insight: datasets with a certain level of sub-optimality and diversity are more effective for training robust controllers than expert-only data, as they provide essential transitions for ""trajectory stitching."" Experimental results demonstrate that the proposed offline controller can reduce indoor temperature violation ratios by up to 28.5% and achieve energy savings of 12.1% compared to baseline methods. Furthermore, the framework exhibits superior data efficiency, requiring an order of magnitude less data than traditional off-policy approaches. This study establishes both a technical framework and a theoretical benchmark for deploying data-driven Heating, Ventilation, and Air Conditioning control in real-world buildings.",planning,1,11,14,1,contact geometry; control actionability; dynamics fidelity,dataset support,not explicit
doi:10.70675/f273f52az0906z443cza443z172023a62cf5,Automatic Symbolic Goal Abstraction via Reachability Analysis in Hierarchical Reinforcement Learning,,,crossref,robot abstraction learning,10.70675/f273f52az0906z443cza443z172023a62cf5,https://doi.org/10.70675/f273f52az0906z443cza443z172023a62cf5,Mehdi Zadem,"Abstraction Symbolique et Automatique d'Objectifs en Apprentissage par Renforcement Hirarchique via Analyse d'Atteignabilit L'Apprentissage par Renforcement Hirarchique (HRL) est un paradigme qui peut tre exploit pour apprendre automatiquement des stratgies pour des tches  long terme, qui impliquent gnralement plusieurs tapes  franchir avant que le problme ne soit rsolu. L'ide principale de l'Apprentissage par Renforcement Hirarchique est de diviser la tche difficile en sous-tches plus restreintes, qui peuvent tre abordes plus facilement dans un aspect plus contraint.Un dfi majeur dans le HRL est d'identifier une dcomposition idale de la tche  long terme sous forme d'objectifs qu'un agent apprenant essaiera d'atteindre. Les environnements de haute dimension et les dynamiques complexes rendent particulirement difficile pour l'agent de comprendre quels objectifs sont critiques pour la tche.Cette thse explore le concept d'apprentissage de reprsentations symboliques d'objectifs dans le cadre du HRL, inspir des abstractions tudies dans le domaine des Mthodes Formelles. Nous dveloppons une mthode d'abstraction spatiale  partir de relations d'atteignabilit dans l'espace observable de l'environnement et fournissons des garanties sur la sous-optimalit de la politique apprise par l'agent. Nous prouvons galement que l'abstraction des objectifs peut tre calcule par un processus de raffinement. De plus, nous implmentons l'abstraction des objectifs tenant compte de l'atteignabilit dans un cadre d'Apprentissage par Renforcement Hirarchique appel GARA, crant un agent capable d'apprendre simultanment l'abstraction des objectifs et la politique. Nous montrons l'impact de l'abstraction des objectifs sur l'efficacit de l'apprentissage de l'agent, sa transfrabilit et son interprtabilit sur un ensemble de tches de navigation en basse dimension. Dans les tches de haute dimension, les objectifs abstraits peuvent tre initialement trop difficiles  atteindre avant le raffinement. Pour remdier  ce problme, nous proposons un nouvel algorithme STAR qui exploite l'abstraction spatiale tenant compte de l'atteignabilit ainsi qu'un mcanisme d'abstraction temporelle permettant plus de flexibilit sur la difficult des objectifs choisis. Nous dmontrons empiriquement que STAR surpasse l'tat de l'art sur un ensemble de tches de contrle continu difficiles.",abstraction,22,5,0,0,state variables; contact geometry,variables discarded by abstraction; task decomposition,not explicit
