mask,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
full_state,29484,0.8068294274733478,0.8994614054150449,0.10702139673767763,0.09985945873396439,0.07741966888964585,0.11243842128830367,0.19527145220377498,0.0667147238363119,0.6900177386533214,0.18588029770151318,0.2729246686080815,0.1128359328416312,0.5166542959319069
visible_plus_contact,29484,0.7731246068364803,0.8705099910642021,0.1369728517895189,0.11417432334148316,0.09486109984867382,0.11693717445037435,0.28451212376444546,0.06950754045403937,0.6883635216112649,0.18732937644013561,0.2736316321386465,0.12878569327682576,0.5166542959319069
visible_history,29484,0.7330282901548841,0.8354256993883813,0.17249913180355353,0.12951701262973792,0.13657591497225513,0.12233489788781325,0.3708519770647793,0.07326817651812385,0.6865441540673358,0.18865191520849475,0.27419613118486064,0.14832335611103525,0.5166542959319069
task_object,29484,0.6828152445532966,0.7905286361749017,0.22103998714439888,0.14803278184573362,0.17005216361931072,0.1278467206565038,0.48643765276182105,0.07772260418644995,0.6841426060858936,0.19006880251455602,0.2747550507973033,0.16884081855965874,0.5166542959319069
task_only,29484,0.6292873211189535,0.7422849316078008,0.27509116310396237,0.16828401592563064,0.20469035286128792,0.1334625803501481,0.6119626932112979,0.08286089386269387,0.6814998633122253,0.1913811887864773,0.2752228149846997,0.18999433283833922,0.5166542959319069
no_hidden_physics,29484,0.6093505001037675,0.7250592455790751,0.29541556569512756,0.1789853650598069,0.20969460057450673,0.13503931209280254,0.697575526114344,0.08500337351410758,0.6796373714226516,0.19209428957341787,0.27539231546521303,0.19652367414010483,0.5166542959319069
overcompressed_latent,29484,0.5910843687344969,0.7069839127980787,0.31762772069705103,0.18504036535816115,0.1998874922034173,0.13489617425114422,0.7603162879560507,0.08482283812363053,0.6782413347932496,0.19241374418270188,0.27533721627439245,0.19593101513750005,0.5166542959319069
random_feature_hash,29484,0.5691813499491729,0.6866235000534351,0.3418869997010377,0.19389553480007174,0.21353695572109538,0.13577215872430926,0.8343728235075105,0.08662138122871357,0.6764397537939618,0.19259269027636128,0.2751018962293075,0.20014828402530357,0.5166542959319069
