controller,stress,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
abstract_history_summary,adversarial_boundary_swap,2016,0.5424174242549616,0.6851050023953921,0.3805430386634479,0.2144064415119741,0.2556234281269771,0.16192471833107586,0.6270479227228682,0.12061479941859989,0.6716140297151756,0.27889526397051895,0.3870156886377539,0.31380857031744175,0.6233971446949983
abstract_history_summary,combined_shift,2016,0.6903870809601172,0.7961348050572058,0.20791754584154,0.12285321225006866,0.2000743801517858,0.10623211169350227,0.5009704090286231,0.08924417878178874,0.6820071219601767,0.20885246660469853,0.3157530535823788,0.1399359503794638,0.5429828260021903
abstract_history_summary,delayed_tactile,2016,0.7308813197619215,0.8254256164786383,0.17677916160557627,0.09877188458997997,0.1167352619647737,0.09967699533630124,0.4903614163508138,0.08066199956015759,0.6864019561512599,0.2006822006057181,0.30814237495729074,0.116482628751798,0.5064202598852535
abstract_history_summary,friction_shift,2016,0.7725753986454719,0.8544592860605869,0.153968362415496,0.07525430385438285,0.15737404385202472,0.09517796839137972,0.45328902762787404,0.07117072711059659,0.6897836455923604,0.20511479575583264,0.3131701506200105,0.09818510963006141,0.5055404004069701
abstract_history_summary,geometry_shift,2016,0.7728936205061089,0.8550685884786828,0.15157065857973645,0.07543900602994585,0.1522841953532386,0.0941612715105219,0.4547400748651157,0.07133360543764394,0.689503147262458,0.20364313289081512,0.31162926988447043,0.09546048838309634,0.5020935967100462
abstract_history_summary,in_distribution,2016,0.8303669406767641,0.8966830574866986,0.10880257385954903,0.044562402288485466,0.0635583963486722,0.08418751072441179,0.42517922965100047,0.0599907570716311,0.6923245175992132,0.19142972061369512,0.2995791237087215,0.060823856642448985,0.4524921939620276
abstract_history_summary,payload_shift,2016,0.7833431462682523,0.8622412567627918,0.14644116676026814,0.06937248362416909,0.14302066617346848,0.09354088661394591,0.4481209598014398,0.06898455377756761,0.6905013111632559,0.20375975691567963,0.31190786283883526,0.09230166543367245,0.4980145231689944
abstract_history_summary,rare_regime_upweight,2016,0.749946612628516,0.8382027055710517,0.17698596792125124,0.08550384299716429,0.12976059762495648,0.10146255292166834,0.46207199877766997,0.07691306286218907,0.6885851998565441,0.20765577037922478,0.3155885121541563,0.11915149406239177,0.5196511649336407
abstract_history_summary,sensor_noise,2016,0.7245250422464934,0.8248586501127707,0.1622558575475698,0.10512991457180532,0.09627065162490288,0.09057997290560993,0.49462012035488284,0.08510522102392772,0.6849153309772308,0.19787858752272017,0.3050573075150779,0.09392842400551424,0.4992965536230989
abstract_nearest_regime,adversarial_boundary_swap,2016,0.4742449514334263,0.6116847542564081,0.472591249202795,0.31317294683779007,0.3036475911383474,0.224929332480994,0.6945346380331899,0.07591994742003347,0.64399482873459,0.18191042285622,0.2817780157826137,0.40761897784586815,0.6233971446949983
