task_family,hidden_variable,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
cable-route,adhesion,9,0.7359787762701614,0.8005029192465014,0.19960511598180494,0.21508047658779966,0.21418732933015,0.218868596397135,0.5669777262652191,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10019054554759727,0.19333324451857703
cable-route,backlash,9,0.7365488438564373,0.8009954593432439,0.19915225627391886,0.21482205162268894,0.21415211625423597,0.2188369046288124,0.5653690596588262,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10010251285781219,0.19055968140410648
cable-route,cable_tension,9,0.32026098645181755,0.4748781288588389,0.6676773459520343,0.5153904746900717,0.38880091332078304,0.3760208219887046,0.9966006533066493,0.0,0.5661333333333334,0.011111111111111112,0.019444444444444445,0.5367245055241796,0.992223348612997
cable-route,compliance,9,0.4741845885796625,0.5960166607252427,0.49772750233048146,0.4061069071519343,0.32427925656560164,0.3179513309090415,0.8508064372998527,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.37542036363622644,0.6918460898001935
cable-route,contact_mode,9,0.4434219471823142,0.5720441882183541,0.5324697846149686,0.42874080345346627,0.3386664206681717,0.33089977860135467,0.8699746415916514,0.0,0.6492,0.06666666666666667,0.11666666666666667,0.4113882738926516,0.7307193342158445
cable-route,fluid_fill,9,0.7374579829231308,0.8026019840656375,0.20291737837680673,0.21714667047502273,0.2151242277632507,0.2197118049869256,0.572781849964312,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10253279163034905,0.2033403543445994
cable-route,friction,9,0.467789878324313,0.5913689275216508,0.5065597740663513,0.4119301639911262,0.3282684858853472,0.32154163729681245,0.852639789542531,0.0,0.6641333333333335,0.07777777777777778,0.13611111111111113,0.38539343693559025,0.6950212619978805
cable-route,grasp_affordance,9,0.7328090519032863,0.7993786388237873,0.21009724811110186,0.221898623068337,0.21846863641289083,0.2227217727716017,0.5733186229167592,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.11089381325444934,0.20426582495226697
cable-route,local_geometry,9,0.7263297168482775,0.7931994406456933,0.21158578352173535,0.22289907932471895,0.2192365166228521,0.22341286496056678,0.5727449610893458,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.11281351377935239,0.20327675283603686
cable-route,occlusion_depth,9,0.7310085286830496,0.7971520506190893,0.20792051338797218,0.2204784064534664,0.21741703575493018,0.22177533217943715,0.5737188098880999,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10826481160954768,0.20495580248906134
cable-route,payload,9,0.48452482511983114,0.6035809245970505,0.483573595989232,0.3968536649240643,0.31827012981017344,0.31254311682915614,0.844341323682387,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3603975467476559,0.6799699153411348
cable-route,support_stiffness,9,0.736470307074719,0.8012795910512721,0.2012109827326564,0.2160309465885102,0.2144661325267888,0.21911951927410994,0.5712865379991895,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10088755353919437,0.20076223026680196
cable-route,surface_anisotropy,9,0.47467715181827624,0.5964746390479121,0.49770525775817176,0.4059916240987858,0.32373993636940057,0.3174659427324605,0.8557277082347224,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.37407206314572367,0.7052004483353873
