controller,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
oracle_full_state,18144,0.7498755067385542,0.8132476351990336,0.21742940107519837,0.1548494880127009,0.18410568815400177,0.1374957977220809,0.5252587796777812,0.022116701934248067,0.6802671245339189,0.10162552705428496,0.17591434137543577,0.16186828682979598,0.5166542959319105
abstract_history_summary,18144,0.7330373984387341,0.826464329822649,0.18502937035493816,0.09903261019088597,0.14607795791342257,0.10299377649204652,0.4840445732422547,0.08044654500489942,0.6861818066975153,0.21087907725103203,0.31864926043318764,0.12556424306732056,0.5166542959319105
mask_aware_diagnostic,18144,0.7228080837569599,0.8833938656491773,0.10801272622071632,0.010657238319557309,0.0866259053518064,0.011810342700276158,0.37493099691720233,0.1835343325013739,0.6789222045673294,0.41007086128149867,0.49585949701462845,0.05721843552672885,0.5166542959319105
logged_risk_minimizer,18144,0.6911204799128299,0.7720006723399407,0.22131821908113433,0.09717089779485098,0.13700714192862104,0.08398369886876425,0.5480819257502615,0.07080409477366695,0.6836726182413347,0.18667616897959294,0.29072217413387325,0.16075475230578373,0.5166542959319105
abstract_nearest_regime,18144,0.6854454181974347,0.7737596066084923,0.2471338757036943,0.1712012467619593,0.1799932494951044,0.15047909497768666,0.5535304077484685,0.05037825542375342,0.6825429102194142,0.16120161368738437,0.2597633031448044,0.1852039507833984,0.5166542959319105
conservative_safe_action,18144,0.676546632570278,0.7420500029123573,0.21803299652166827,0.03525845771321786,0.0869296876805173,0.01620068321149688,0.5758537365020483,0.07844850676344081,0.6816340758079816,0.14442871367465349,0.23800159455154693,0.14862276476408257,0.5166542959319105
tuned_visible_quadratic,18144,0.6663074102591718,0.7469688423182372,0.2903377207504696,0.2466119797597083,0.21464067061846342,0.2029049916276579,0.5893618252105586,0.00941049654570194,0.6800804289450625,0.10183055851331366,0.17627276235257033,0.223573366607843,0.5166542959319105
boundary_certified,18144,0.6653201883395866,0.8673265241543499,0.1183087884164456,0.005650028553961568,0.07748157149583541,0.00324913975309828,0.3851225117168522,0.23982766584025536,0.7065164497219105,0.4434239901872944,0.5320244212918024,0.06564486702840604,0.5166542959319105
tuned_visible_linear,18144,0.6575348846690812,0.7398331618491093,0.29945284882672507,0.25301119499539093,0.2197730045054228,0.20528971782090777,0.5935438974150156,0.009113068740277896,0.6799319368975562,0.09757364676986567,0.1694291652883668,0.22890473348578064,0.5166542959319105
tuned_constant,18144,0.6505876399534138,0.7324308698538705,0.3082934055710477,0.2616852414803237,0.22521495690287688,0.20883656449029,0.5985538440228414,0.004799025505397872,0.6797887506766196,0.09333338834798598,0.16246447093121386,0.2350096144794122,0.5166542959319105
no_audit_latent_policy,18144,0.6372870794185996,0.7262139470173173,0.32084771384911853,0.29642289199573574,0.23246426028039627,0.24061672314124694,0.5984755114774597,0.0,0.6795253968255252,0.08637566137564319,0.1511574074074265,0.23813287292321544,0.5166542959319105
optimistic_reward_action,18144,0.6269812513289158,0.7288799150524785,0.33179905949052607,0.33874310325367757,0.24403160081482012,0.2872426599333376,0.5976269441165677,0.00038486222222222356,0.6796575321443282,0.08930369548125101,0.1557629184838319,0.24455122425927234,0.5166542959319105
uncertainty_abstention,18144,0.6035373284185768,0.8148562756044897,0.16878045123085472,0.0086125149217319,0.08907145898028171,0.004328898775883248,0.46772841815172295,0.2688339337963751,0.6817190732985027,0.3439470925070267,0.44339148782529003,0.10469843670085081,0.5166542959319105
