task_family,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
press-fit,13104,0.5819821930896566,0.7114562958084231,0.3329012764637166,0.203348568190277,0.20059102275962512,0.1819241723639646,0.6199742831510121,0.09284942672521647,0.669666072744374,0.19512094160894553,0.2748998134432561,0.2624203387633362,0.7060726354246208
push-turn,13104,0.5982784020786379,0.723076759969907,0.315809509633089,0.19448838357541448,0.1927236117539419,0.1529137410037631,0.6193703177794062,0.08887829002965124,0.6689121547965319,0.20112731611245813,0.27814447953816934,0.2424082613980679,0.7071869519115251
lift,13104,0.6073695079078801,0.7296286795173167,0.3061935546769673,0.1894694399375265,0.18851748098127355,0.14092413653695524,0.6169535390225788,0.08682342939990721,0.6696863174362728,0.19918051042836735,0.27722269596950155,0.23172414011065076,0.7021768776816815
pull,13104,0.6200658942589902,0.7390883971735255,0.2926616759373629,0.18244940801721424,0.183060204579439,0.12981085309519041,0.6091688825583988,0.08430997569804381,0.6708734895061936,0.19779883172320323,0.2766183709533357,0.21783554168756272,0.6852716055391426
slide,13104,0.6286804477475147,0.7451932769215215,0.2837707867959503,0.1777718442216008,0.17886704889749072,0.11639742875769662,0.6098571158315806,0.08219485916779534,0.6715993412792347,0.19395952759840682,0.2746535599571281,0.20718294683208643,0.6867331042352994
wipe,13104,0.641590262699569,0.7548154802140019,0.2699814486963851,0.17070269114759085,0.17341173296791962,0.10576305386887348,0.6009062328402724,0.07972877101403919,0.6727155952798874,0.19248958389911072,0.27393379118603106,0.19325831136022345,0.6674285926832304
peg-seat,13104,0.6797045702547625,0.786999205542723,0.22722541441803476,0.14951471741833147,0.16233343800713537,0.14078205165876165,0.5105404448151415,0.07889208136617246,0.6851093118886309,0.19432888739081552,0.2773447144859624,0.16503948679516128,0.47711166727279536
handoff,13104,0.6822091687758256,0.7888505260023002,0.2246559372938052,0.1480201690912683,0.161002449872324,0.13702056758616124,0.5117640747735183,0.07836024158326468,0.685667646643247,0.19384426897076137,0.27731265805987915,0.1616918090313351,0.4786982651620963
tool-use,13104,0.6828592648013007,0.789312578991049,0.2240785133277548,0.14775874177476422,0.16091654916014567,0.134331306084122,0.5100243686851108,0.07820377797114088,0.6851506114371384,0.19422454317649374,0.27727300826442264,0.16145803026695968,0.47583981084458143
insert,13104,0.6867019072341853,0.7921082731316819,0.21984303125795687,0.14549116372699533,0.15918342523848011,0.12915765768022902,0.5077766079099717,0.07740663735071439,0.6859327675643133,0.19318166843880444,0.27687557059066364,0.15706300106881277,0.47070029542726255
cable-route,13104,0.6930842682261842,0.7976692083701596,0.21246502112951263,0.14198097591351708,0.15736359145975787,0.14511141503720065,0.4921674222478576,0.07723851622484319,0.688124946893926,0.18872176034237284,0.2746143052732027,0.15238853124361704,0.43583033973085467
latch,13104,0.7115999954421397,0.8115028696858166,0.1926936009600742,0.1313430906881552,0.14945508200092725,0.12424407642498513,0.4795588472459033,0.07373206561232941,0.6913902318088391,0.18441854269186903,0.27301625947097136,0.13235913716314401,0.4081905323242932
drape,13104,0.7116602714425487,0.8112375544268745,0.192922287578933,0.13143394965646943,0.14921944432515188,0.11561634669431507,0.48268751138265836,0.07347514640243842,0.6903157079158369,0.18655596238627492,0.2739728591663073,0.131774276401387,0.41504538251636386
peel,13104,0.7156164489167682,0.8143617516409838,0.18867782806220845,0.1291564431111439,0.14762849204593606,0.11559351439764465,0.47914476872529815,0.0728033005077434,0.691528192180203,0.18252634861374328,0.2719556662312513,0.12773191633113998,0.407114318567181
twist,13104,0.7166063704817767,0.8151524461894528,0.18742310140123553,0.1285005696475082,0.1472629735524563,0.11650468798058004,0.47696338774820873,0.07271991416441662,0.6918277339757068,0.18145885807451176,0.27137826871770604,0.12680977415741115,0.40229532424561043
pour,13104,0.7247445686161643,0.8211130986160728,0.17885683734350674,0.12390095640586828,0.14370242042653567,0.1056589614709645,0.4726066743138302,0.0711278029740502,0.6923846154996802,0.18129738774039736,0.2713546262106887,0.11780412701488067,0.3925470399326729
stack,13104,0.7274054163379355,0.8231016039282687,0.17612030927021008,0.12247965080626089,0.14264911894024876,0.10262291693243972,0.47060983136852297,0.07060764747337069,0.6926888672750231,0.18032372367966493,0.27085449101101483,0.11511002984588073,0.3885291223373109
scoop,13104,0.7279185367680372,0.8233059685519969,0.175718203266035,0.12221416648291303,0.14222797258415226,0.09775985175430135,0.4728518969147706,0.07032156271402411,0.6924206692888712,0.1803690226620162,0.2708387442560559,0.11405233112172528,0.3930054609379463
